Generation,Best_Pearson_r,Population_Mean_r,Weight_RTT,Weight_UTIL
169,0.7663794384225203,0.7662093600009442,0.5809454832250976,0.4190545167749023
170,0.7663794384225203,0.7661006819813079,0.5809454832250976,0.4190545167749023
171,0.7663794384225203,0.7661408253421463,0.5809454832250976,0.4190545167749023
172,0.7663794384225203,0.7660741749045462,0.5809454832250976,0.4190545167749023
173,0.7663794384225203,0.766092582950056,0.5809454832250976,0.4190545167749023
174,0.7663794384225203,0.766078934621029,0.5809454832250976,0.4190545167749023
175,0.7663794384225203,0.766132787651421,0.5809454832250976,0.4190545167749023
176,0.7663794384225203,0.7661883092870037,0.5809454832250976,0.4190545167749023
177,0.7663794384225203,0.7661560380091356,0.5809454832250976,0.4190545167749023
178,0.7663794384225203,0.7661980384233225,0.5809454832250976,0.4190545167749023
179,0.7663794384225203,0.7661091018350108,0.5809454832250976,0.4190545167749023
180,0.7663794384225203,0.7661695326442783,0.5809454832250976,0.4190545167749023
181,0.7663794384225203,0.7661560848732845,0.5809454832250976,0.4190545167749023
182,0.7663794384225203,0.7660489128782849,0.5809454832250976,0.4190545167749023
183,0.7663794384225203,0.7661519420938079,0.5809454832250976,0.4190545167749023
184,0.7663794384225203,0.7661396955013975,0.5809454832250976,0.4190545167749023
185,0.7663794384225203,0.7661483175678402,0.5809454832250976,0.4190545167749023
186,0.7663794384225203,0.7661193094073319,0.5809454832250976,0.4190545167749023
187,0.7663794384225203,0.7661601649322065,0.5809454832250976,0.4190545167749023
188,0.7663794384225203,0.7660810707178003,0.5809454832250976,0.4190545167749023
189,0.7663794384225203,0.766135003859054,0.5809454832250976,0.4190545167749023
190,0.7663794384225203,0.7661646861959553,0.5809454832250976,0.4190545167749023
191,0.7663794384225203,0.7661632629356327,0.5809454832250976,0.4190545167749023
192,0.7663794384225203,0.7661735854275532,0.5809454832250976,0.4190545167749023
193,0.7663794384225203,0.7661824044605021,0.5809454832250976,0.4190545167749023
194,0.7663794384225203,0.7661300290483278,0.5809454832250976,0.4190545167749023
195,0.7663794384225203,0.7661761459309762,0.5809454832250976,0.4190545167749023
196,0.7663794384225203,0.7662164397171249,0.5809454832250976,0.4190545167749023
197,0.7663794384225203,0.7662134396939203,0.5809454832250976,0.4190545167749023
198,0.7663794384225203,0.7661849605526936,0.5809454832250976,0.4190545167749023
199,0.7663794384225203,0.7661334799642038,0.5809454832250976,0.4190545167749023
200,0.7663794384225203,0.7661351032214755,0.5809454832250976,0.4190545167749023
201,0.7663794384225203,0.7661697530879186,0.5809454832250976,0.4190545167749023
202,0.7663794384225203,0.7661394844899589,0.5809454832250976,0.4190545167749023
203,0.7663794384225203,0.7661344254478317,0.5809454832250976,0.4190545167749023
204,0.7663794384225203,0.7660890007747667,0.5809454832250976,0.4190545167749023
