Source_Sheet,Source_Excel_Row,RSSI_dBm,Link_Mbps,UTIL_percent,RTT_ms,PacketLoss_percent,Upload_Mbps,Download_Mbps,Actual_Mbps,Is_Congested,State,Environment,RSSI_Score_0_100,GA_Normalized_RTT,GA_Normalized_UTIL,GA_Congestion_Score_0_100,GA_Hybrid_Score_0_100,APQI_raw,APQI_Qualified,APQI_Score_0_100
MOVE_OPEN2_1H_R2,23,-51,1201.0,15,4,0.0,20.2269,147.2338,167.4607,False,정상,RSSI 변화 환경,86.79245283018868,0.9857142857142858,0.8850574712643678,94.35335929748744,86.79245283018868,5.804614881266788,True,82.62594085389598
MOVE_OPEN2_1H_R2,24,-49,1201.0,33,5,0.0,73.3027,151.9382,225.2409,False,정상,RSSI 변화 환경,90.56603773584906,0.9785714285714285,0.6781609195402298,85.26830478752571,90.56603773584906,5.23207381468253,True,73.25348009352048
MOVE_OPEN2_1H_R2,25,-60,1201.0,22,22,0.0,12.3227,96.8098,109.1325,True,혼잡,RSSI 변화 환경,69.81132075471697,0.8571428571428572,0.8045977011494253,83.51235721891676,83.51235721891676,4.909273573748426,True,67.96926072800986
MOVE_OPEN2_1H_R2,26,-70,960.75,35,6,0.0,9.6394,73.1843,82.82369999999999,False,정상,RSSI 변화 환경,50.943396226415096,0.9714285714285714,0.6551724137931034,83.8900000113553,50.943396226415096,3.5069719787422797,True,45.01367301476959
MOVE_OPEN2_1H_R2,27,-65,924.75,12,5,0.0,20.488,94.3496,114.8376,False,정상,RSSI 변화 환경,60.37735849056604,0.9785714285714285,0.9195402298850575,95.3834138131268,60.37735849056604,4.251449815748295,True,57.200727745945336
MOVE_OPEN2_1H_R2,28,-71,816.5,15,8,0.0,15.2749,105.1155,120.3904,False,정상,RSSI 변화 환경,49.056603773584904,0.9571428571428572,0.8850574712643678,92.69351505970144,49.056603773584904,3.5923575048569356,True,46.41142863392193
MOVE_OPEN2_1H_R2,29,-70,888.75,12,5,0.0,23.9302,80.7673,104.6975,False,정상,RSSI 변화 환경,50.943396226415096,0.9785714285714285,0.9195402298850575,95.3834138131268,50.943396226415096,3.593607994060042,True,46.43189906245784
MOVE_OPEN2_1H_R2,30,-70,888.75,12,7,0.0,0.4183,21.1284,21.546699999999998,False,정상,RSSI 변화 환경,50.943396226415096,0.9642857142857143,0.9195402298850575,94.55349169423381,50.943396226415096,3.506113877744582,True,44.99962595614137
MOVE_OPEN2_1H_R2,31,-68,924.75,61,131,0.0,0.418,0.6264,1.0444,True,혼잡,RSSI 변화 환경,54.71698113207547,0.07857142857142863,0.3563218390804598,19.496399263132144,19.496399263132144,2.196520398297123,True,23.561664184435692
CONGESTED_OPEN2_R1,2,-51,1201.0,50,7,0.0,33.2445,64.7117,97.9562,False,정상,RSSI 양호·혼잡 환경,86.79245283018868,0.9642857142857143,0.48275862068965514,76.24996107647945,86.79245283018868,4.715802899775644,True,64.80215812887002
CONGESTED_OPEN2_R1,3,-53,1201.0,47,9,0.0,103.9524,70.7138,174.6662,False,정상,RSSI 양호·혼잡 환경,83.01886792452831,0.95,0.5172413793103448,76.86505453267232,83.01886792452831,4.638791418615037,True,63.54148509176838
